"","business.txt","culture.txt","datademirutottori.txt","opinion.txt","press_release.txt","public.txt"
"エール",0,0,0,0,0,2
"エキスパート",1,0,0,0,0,0
"エグゼクティブ",1,0,0,0,0,0
"エコ",2,0,0,0,0,0
"エコノミー",0,0,0,2,0,0
"エスカレーション",2,0,0,0,0,0
"エチケット",0,0,0,0,0,1
"エッセンス",0,0,0,1,0,0
"エネルギー",2,0,0,1,0,0
"エピソード",1,0,0,0,0,0
"エビデンス",2,0,0,0,0,0
"エポックメーキング",0,0,0,1,0,0
"エリア",0,0,0,1,2,0
"エル",1,0,0,0,0,0
"エレクトロニクス",3,0,0,0,0,0
"エンゲージメント",2,0,0,1,0,0
"エンジニア",3,0,0,1,0,0
"エンジン",0,0,0,1,0,0
"エンター",1,0,0,0,0,0
"エンターテイメント",1,0,0,0,0,0
"エンターテインメント",0,0,0,0,0,3
"エンド",0,0,0,1,0,0
"エントリー",2,0,0,0,0,0
"おいしい",3,0,1,0,0,1
"オイルショック",2,0,0,0,0,0
"オウンドメディア",0,0,2,0,0,0
"オーガニック",7,0,0,0,0,0
"オーシャンビュー",0,0,0,0,1,0
"オーストラリア",1,0,0,0,0,1
"オーダー",5,0,0,0,0,0
"オート",1,0,0,0,0,0
"オートメーション",2,0,0,0,0,0
"オーバーワーク",1,0,0,0,0,0
"オープニング",0,0,0,1,0,0
"オープン",4,0,0,1,2,0
"おかげ",2,0,0,0,6,0
"おかしい",2,0,1,0,0,0
"オクラ",0,0,0,1,0,0
"おじ",1,0,0,0,0,0
"おしまい",1,0,0,0,0,0
"おしゃべり",0,0,0,0,0,1
"おすすめ",4,0,0,0,2,1
"オフ",0,0,0,1,0,0
"オブ",1,0,0,1,0,0
"オファー",0,0,0,1,0,0
"オフィス",4,0,1,6,6,1
"オフシーズン",1,0,0,0,0,0
"オペレーション",0,0,0,0,2,0
"おもい",1,0,0,0,0,0
"おもちゃ",0,0,0,3,0,0
"オラン",0,0,0,2,0,0
"オランダ",1,0,0,0,0,0
"オリンピック",1,0,1,0,0,2
"オルタナティブ",0,0,0,2,0,0
"おろか",0,0,0,1,0,0
"オン",0,0,0,1,0,0
"オンデマンド",15,0,0,0,0,0
"オンライン",29,0,0,49,2,5
"お越し",1,0,0,2,0,0
"お化け",0,0,0,1,0,0
"お家",3,0,0,0,0,0
"お菓子",0,0,0,0,0,2
"お過ごし",3,0,0,0,0,0
"お願い",11,0,0,1,7,0
"お客",6,0,0,0,0,0
"お客様",9,0,0,0,0,1
"お供",2,0,0,0,0,0
"お金",7,0,1,3,0,2
"お互い",3,1,0,0,0,2
"お子さん",2,0,0,1,0,1
"お子様",0,0,0,1,0,1
"お手伝い",2,0,0,0,0,0
"お祝い",1,0,0,0,0,0
"お出かけ",0,0,1,0,0,0
"お世話",1,0,0,3,0,0
"お前",0,0,0,1,0,0
"お待ち",0,0,0,0,1,0
"お知らせ",0,0,0,0,1,0
"お茶",1,0,0,0,0,0
"お伝え",4,1,2,2,0,0
"お湯",0,0,0,0,1,0
"お答え",1,0,0,0,0,0
"お披露目",0,0,0,0,1,0
"お盆",0,0,0,0,0,1
"お誘い",0,0,0,1,0,0
"お力",0,0,0,0,2,0
"お礼",0,0,0,0,0,1
"お話",2,2,0,1,0,0
"カ",1,0,0,0,0,0
"カー",0,0,0,1,0,0
"カード",10,0,0,0,0,0
"ガイド",3,0,0,0,0,0
"ガイドブック",7,0,0,0,0,0
"カウィー",0,0,0,0,0,2
"カオス",0,0,0,1,0,0
"カギ",2,0,0,0,0,0
"かぎり",0,0,0,1,0,0
"カジュアル",1,0,0,0,0,0
"カスタマージャーニーマップ",1,0,0,0,0,0
"ガスト",0,0,0,0,0,1
"ガソリン",2,0,0,1,0,0
"ガソリンスタンド",1,0,0,0,0,0
"かた",1,0,0,0,0,0
"がた",0,0,1,0,0,0
"カタチ",0,0,0,2,0,0
"かたち",0,0,0,1,0,0
"がち",5,0,1,3,0,0
"ガチンコ",0,0,0,0,1,0
"カテゴリ",0,0,0,2,0,0
"カテゴリー",0,0,0,1,0,0
"かな",0,0,0,2,0,0
"カナダ",0,0,0,1,0,0
"かなり",0,0,2,2,0,0
"カニ",0,0,2,1,16,0
"かに",0,0,0,0,1,0
"ガニ",0,0,0,0,7,0
"カバー",1,0,0,3,0,0
"カフェ",0,0,0,0,1,0
"かまくら",0,0,0,1,0,0
"カミュ",0,0,0,2,0,0
"カメラ",0,0,0,1,0,0
"かも",0,0,1,0,0,0
"カヤック",0,0,0,0,0,4
"ガラ",0,0,0,0,1,0
"カラオケ",0,0,0,1,0,3
"ガラクタ",0,0,0,1,0,0
"ガラケー",0,0,1,0,0,0
"カリキュラム",0,0,0,1,0,0
"カレイ",1,0,0,0,0,0
"カレー",1,0,0,0,0,1
"カレーライス",0,0,0,0,0,1
"かん",1,0,0,0,0,0
"がん",3,0,0,1,1,0
"カンニング",1,0,0,0,0,0
"カンヌ国際映画祭",0,0,0,1,0,0
"カンパニー",0,0,0,0,0,1
"カンパン",0,0,0,3,0,0
"カンボジア",1,0,0,1,0,0
"カ月",2,0,0,1,0,0
"か月",7,0,0,1,0,1
"カ国",1,0,0,0,0,0
"ヵ所",0,0,0,1,0,0
"か所",0,0,1,0,0,0
"か条",0,0,0,0,0,2
"キーマン",0,0,0,0,1,0
"キーワード",2,0,0,1,0,0
"ぎこばん",0,0,0,0,0,1
"きだ",0,0,0,3,0,0
"きつい",1,0,0,0,0,0
